Date,y_headline_diff,y_food_diff
2014-03-31,0.3700000000000001,0.4499999999999993
2014-04-30,0.23000000000000043,0.5800000000000001
2014-05-31,-0.15000000000000036,-0.3099999999999987
2014-06-30,-1.5600000000000005,-1.5700000000000012
2014-07-31,0.6200000000000001,1.410000000000001
2014-08-31,-0.35999999999999943,-0.14000000000000057
2014-09-30,-1.4000000000000004,-2.24
2014-10-31,-1.0099999999999998,-2.01
2014-11-30,-1.35,-2.29
2014-12-31,1.0100000000000002,2.3499999999999996
2015-01-31,0.9100000000000001,1.9100000000000001
2015-02-28,0.17999999999999972,0.45999999999999996
2015-03-31,-0.1200000000000001,-0.46999999999999975
2015-04-30,-0.3799999999999999,-0.8499999999999996
2015-05-31,0.13999999999999968,-0.3100000000000005
2015-06-30,0.39000000000000057,0.6000000000000005
2015-07-31,-1.7100000000000004,-2.9200000000000004
2015-08-31,0.050000000000000266,0.10999999999999988
2015-09-30,0.6699999999999999,1.37
2015-10-31,0.5899999999999999,1.0499999999999998
2015-11-30,0.41000000000000014,0.7400000000000002
2015-12-31,0.20000000000000018,0.22999999999999954
2016-01-31,0.08000000000000007,0.35000000000000053
2016-02-29,-0.4300000000000006,-1.1400000000000006
2016-03-31,-0.4299999999999997,-0.3299999999999992
2016-04-30,0.6399999999999997,1.0999999999999996
2016-05-31,0.29000000000000004,0.9100000000000001
2016-06-30,0.009999999999999787,0.2599999999999998
2016-07-31,0.3000000000000007,0.5
2016-08-31,-1.0200000000000005,-2.13
2016-09-30,-0.6600000000000001,-1.71
2016-10-31,-0.1899999999999995,-0.41000000000000014
2016-11-30,-0.5700000000000003,-1.15
2016-12-31,-0.21999999999999975,-0.5800000000000001
2017-01-31,-0.2400000000000002,-0.6099999999999999
2017-02-28,0.48,1.02
2017-03-31,0.2400000000000002,0.1499999999999999
2017-04-30,-0.8999999999999999,-1.25
2017-05-31,-0.81,-1.51
2017-06-30,-0.7200000000000002,-0.95
2017-07-31,0.8999999999999999,1.5999999999999999
2017-08-31,0.9199999999999999,1.53
2017-09-30,0.0,-0.19999999999999996
2017-10-31,0.30000000000000027,0.4999999999999998
2017-11-30,1.2999999999999998,2.1500000000000004
2017-12-31,0.33000000000000007,0.4399999999999995
2018-01-31,-0.13999999999999968,-0.2699999999999996
2018-02-28,-0.6299999999999999,-1.12
2018-03-31,-0.16000000000000014,-0.3799999999999999
2018-04-30,0.2999999999999998,-0.08000000000000007
2018-05-31,0.29000000000000004,0.29000000000000004
2018-06-30,0.04999999999999982,-0.18000000000000016
2018-07-31,-0.75,-1.38
2018-08-31,-0.48,-0.95
2018-09-30,0.010000000000000231,0.22999999999999998
2018-10-31,-0.3200000000000003,-1.15
2018-11-30,-1.0499999999999998,-1.5499999999999998
2018-12-31,-0.2200000000000002,0.050000000000000044
2019-01-31,-0.1399999999999999,0.34999999999999987
2019-02-28,0.5999999999999999,1.22
2019-03-31,0.29000000000000004,0.73
2019-04-30,0.13000000000000034,0.7199999999999999
2019-05-31,0.05999999999999961,0.6499999999999999
2019-06-30,0.13000000000000034,0.3400000000000003
2019-07-31,-0.03000000000000025,-0.040000000000000036
2019-08-31,0.1299999999999999,0.6299999999999999
2019-09-30,0.7100000000000004,1.7400000000000002
2019-10-31,0.6299999999999999,2.2299999999999995
2019-11-30,0.9199999999999999,1.8000000000000007
2019-12-31,1.8099999999999996,3.4299999999999997
2020-01-31,0.2400000000000002,-0.4399999999999995
2020-02-29,-1.0099999999999998,-2.2700000000000014
2020-03-31,-0.7400000000000002,-1.629999999999999
2020-08-31,-0.040000000000000036,-0.21000000000000085
2020-09-30,0.5799999999999992,1.5100000000000016
2020-10-31,0.34000000000000075,0.28999999999999915
2020-11-30,-0.6800000000000006,-1.1999999999999993
2020-12-31,-2.34,-5.0200000000000005
2021-01-31,-0.5300000000000002,-1.2000000000000002
2021-02-28,0.9700000000000006,1.58
2021-03-31,0.4899999999999993,0.9900000000000002
2021-04-30,-1.2899999999999991,-2.64
2021-05-31,2.0699999999999994,2.64
2021-06-30,-0.040000000000000036,0.33999999999999986
2021-07-31,-0.6699999999999999,-1.12
2021-08-31,-0.29000000000000004,-0.73
2021-09-30,-0.9500000000000002,-2.12
2021-10-31,0.13000000000000078,0.20999999999999996
2021-11-30,0.4299999999999997,0.78
2021-12-31,0.75,1.8699999999999997
2022-01-31,0.34999999999999964,1.1100000000000003
2022-02-28,0.0600000000000005,0.34999999999999964
2022-03-31,0.8799999999999999,1.54
2022-04-30,0.8399999999999999,0.6299999999999999
2022-05-31,-0.75,-0.2599999999999998
2022-06-30,-0.03000000000000025,-0.28000000000000025
2022-07-31,-0.2999999999999998,-0.8499999999999996
2022-08-31,0.29000000000000004,0.8600000000000003
2022-09-30,0.41000000000000014,0.8399999999999999
2022-10-31,-0.6400000000000006,-1.3100000000000005
2022-11-30,-0.8899999999999997,-2.0299999999999994
2022-12-31,-0.16000000000000014,-0.4900000000000002
2023-01-31,0.7999999999999998,1.6100000000000003
2023-02-28,-0.07999999999999918,0.0699999999999994
2023-03-31,-0.7800000000000002,-1.1499999999999995
2023-04-30,-0.96,-0.9500000000000002
2023-05-31,-0.39000000000000057,-0.81
2023-06-30,0.5600000000000005,1.3400000000000003
2023-07-31,2.5700000000000003,5.88
2023-08-31,-0.6100000000000003,-1.3800000000000008
2023-09-30,-1.8100000000000005,-2.8899999999999997
2023-10-31,-0.14999999999999947,-0.009999999999999787
2023-11-30,0.6799999999999997,1.7299999999999995
2023-12-31,0.14000000000000057,0.6799999999999997
2024-01-31,-0.5900000000000007,-1.1199999999999992
2024-02-29,-0.009999999999999787,0.17999999999999972
2024-03-31,-0.2400000000000002,-0.019999999999999574
2024-04-30,-0.019999999999999574,0.1299999999999999
2024-05-31,-0.03000000000000025,0.0
2024-06-30,0.28000000000000025,0.4899999999999993
2024-07-31,-1.48,-3.3
2024-08-31,0.04999999999999982,0.2400000000000002
2024-09-30,1.8400000000000003,3.0599999999999996
2024-10-31,0.7199999999999998,1.33
2024-11-30,-0.7299999999999995,-1.4900000000000002
2024-12-31,-0.2600000000000007,-0.5099999999999989
