,y_us_headline_diff,y_us_core_diff
2013-02-28,0.3340787281591817,0.07893630358541959
2013-03-31,-0.4993932491328623,-0.09971638364973945
2013-04-30,-0.3799391935477514,-0.17346328150473767
2013-05-31,0.2515807803428416,-0.07000690710901036
2013-06-30,0.325404699237164,-0.02245670175777814
2013-07-31,0.16967827825893345,0.07712652062941139
2013-08-31,-0.34666231681552695,0.08188592284772422
2013-09-30,-0.44407538042547934,-0.03017084907299683
2013-10-31,-0.2179349646836526,-0.06509911068661722
2013-11-30,0.35607105270429873,0.054830016229057144
2013-12-31,0.27996817056188394,-0.0008111285368928023
2014-01-31,0.04492042881758529,-0.1338221829999542
2014-02-28,-0.4372841608024203,-0.05222704534215694
2014-03-31,0.49222027916830946,0.0908535801486865
2014-04-30,0.4024303896653647,0.17539455437018958
2014-05-31,0.15182238347364319,0.12447143682250417
2014-06-30,-0.10796599248539263,-0.022664309168596297
2014-07-31,-0.0847438242638221,-0.07789942366132063
2014-08-31,-0.25913952203369117,-0.10856762611135551
2014-09-30,-0.031047377173698543,0.004550285473148286
2014-10-31,-0.07450926897187848,0.07668642206815068
2014-11-30,-0.3780167128305312,-0.07603755519003386
2014-12-31,-0.5784035973584789,-0.1191752505825816
2015-01-31,-0.8830523701677473,0.009206060578037523
2015-02-28,0.14289951527022282,0.056457928629627396
2015-03-31,0.06500017851133189,0.057294213471514865
2015-04-30,-0.08199970497003717,0.05745012555180562
2015-05-31,0.13906420763820648,-0.05188373764732912
2015-06-30,0.14453859151075665,0.02632352921818626
2015-07-31,0.04611430128589333,0.05736366502420154
2015-08-31,0.015617687493540977,0.01600103785242002
2015-09-30,-0.23246083690031671,0.046463817322961454
2015-10-31,0.118773599036337,0.016437391295709425
2015-11-30,0.3087016562480116,0.08389398786383673
2015-12-31,0.20240653461796043,0.07407975545945522
2016-01-31,0.5987777511579084,0.07351525929837344
2016-02-29,-0.3902249236817257,0.07755128351170093
2016-03-31,0.044338517539532774,-0.08014687353650185
2016-04-30,0.2810096538012896,0.014227812656519845
2016-05-31,-0.09414928822886193,0.0979048362834245
2016-06-30,0.0008100726713200501,0.0076520490090992155
2016-07-31,-0.21092319174411678,-0.09207168402241006
2016-08-31,0.1869525165138608,0.13859459893437176
2016-09-30,0.4933287605995318,-0.03761387884948508
2016-10-31,0.13728034607842776,-0.06656553177006863
2016-11-30,-0.0015914942647521357,-0.0591332109937559
2016-12-31,0.3664654395330924,0.051701721494912256
2017-01-31,0.45959443674512546,0.053085560801746645
2017-02-28,0.2999683330723091,-0.014862393052283984
2017-03-31,-0.3691654447702808,-0.18950134711099853
2017-04-30,-0.264972764643745,-0.1492804710484963
2017-05-31,-0.31988030515341936,-0.15947181966431412
2017-06-30,-0.2157773568028487,-0.03797385697690281
2017-07-31,0.08454154069748032,-0.022156589776023417
2017-08-31,0.20301420664037284,-0.021721482593051178
2017-09-30,0.25244367307419857,-0.05985141611435374
2017-10-31,-0.1598074772386937,0.16424923556153104
2017-11-30,0.15173611116308106,-0.02203180862900833
2017-12-31,-0.0425631447433128,0.03255918056692675
2018-01-31,0.021388148511691796,0.12110065976780326
2018-02-28,0.11215006302791597,-0.013562908218456293
2018-03-31,0.06748083355807566,0.24508016141873146
2018-04-30,0.14004653745536277,0.027860269892765466
2018-05-31,0.31092530573719745,0.12235381274654511
2018-06-30,0.025629085751521785,-0.027481141745400173
2018-07-31,0.04657409196791029,0.02207798624360713
2018-08-31,-0.21120092868767149,-0.1467011598841772
2018-09-30,-0.31086875106542955,0.07678635636370057
2018-10-31,0.15997736440922505,-0.07127136415892021
2018-11-30,-0.3447038925502799,0.08897524724034156
2018-12-31,-0.14494767332766667,0.03314517759840374
2019-01-31,-0.5147915465109731,-0.06909662628113988
2019-02-28,0.03127217730305443,-0.038343960535924815
2019-03-31,0.36432481617421075,-0.07452661370064284
2019-04-30,0.11739711890266236,0.024775373558627578
2019-05-31,-0.20467291484844718,-0.11890971602652733
2019-06-30,-0.12471566097056463,0.10217212687726462
2019-07-31,0.15513644064701904,0.09110481592740083
2019-08-31,-0.08869012437042745,0.15543072324948337
2019-09-30,-0.05314350662748435,0.008874234749245424
2019-10-31,0.04947599557947324,0.007804912618047943
2019-11-30,0.35831669524428733,0.01688127329910749
2019-12-31,0.22723707509952895,-0.0640972778243043
2020-01-31,0.28024050688275626,-0.008859632651336824
2020-02-29,-0.25845129708568226,0.08592217631424592
2020-03-31,-0.8472767154686034,-0.26991967250533655
2020-04-30,-1.180992670249803,-0.6668092723415509
2020-05-31,-0.1148459904562582,-0.2124759459964487
2020-06-30,0.518454979598193,-0.034772280768957664
2020-07-31,0.28020847940675164,0.3770116486403463
2020-08-31,0.2842050869625856,0.16169755069683767
2020-09-30,0.10995304168499587,-0.003328982484762655
2020-10-31,-0.1606365483702188,-0.08265273609810997
2020-11-30,-0.05464112902657803,0.03296637163594518
2020-12-31,0.14467391773735905,-0.045064079525203304
2021-01-31,0.03490084665667137,-0.23707060137789782
2021-02-28,0.3121824325657663,-0.11335324515624468
2021-03-31,0.9561433369638328,0.37334228012420034
2021-04-30,1.5137277055541354,1.318005087461671
2021-05-31,0.7890931106647292,0.8194444460654537
2021-06-30,0.39095237922464054,0.6385056705018766
2021-07-31,-0.04825129596675026,-0.2158342673124869
2021-08-31,-0.08784447396972261,-0.25872020919153194
2021-09-30,0.18220025199904288,0.06500596235647915
2021-10-31,0.8630677955011601,0.5696230779164368
2021-11-30,0.6389682995247448,0.39116196339796794
2021-12-31,0.29389782481628046,0.529735435300549
2022-01-31,0.41862511788806067,0.5542837259366662
2022-02-28,0.3711384359534442,0.3970771427916242
2022-03-31,0.5915592495846047,0.02479107863526675
2022-04-30,-0.3056184045160819,-0.32300189641567556
2022-05-31,0.29488996906672327,-0.13749526750197472
2022-06-30,0.46924642883388046,-0.11184339304290969
2022-07-31,-0.5515199351685531,-0.007504757235543558
2022-08-31,-0.23152314721328615,0.3933253121222391
2022-09-30,-0.010503477089507385,0.3391041379496862
2022-10-31,-0.4484901116422968,-0.3371161460863803
2022-11-30,-0.6258811018311716,-0.33094397703874456
2022-12-31,-0.7205486915924819,-0.28082207233695033
2023-01-31,-0.07053536745664779,-0.14494253195744822
2023-02-28,-0.3826475971622667,-0.04360855047753631
2023-03-31,-1.026300071009767,0.06735851861645603
2023-04-30,0.015598846305198144,-0.04907438829679922
2023-05-31,-0.8216329487058527,-0.1774729172061562
2023-06-30,-1.0660612045771733,-0.47859915496601957
2023-07-31,0.2210748675669505,-0.15420417957536792
2023-08-31,0.4383076654145057,-0.29861762449685525
2023-09-30,-0.023553535537312875,-0.26949032825707153
2023-10-31,-0.44854482454672606,-0.10972272295790564
2023-11-30,-0.10668186269902069,-0.0108684618788768
2023-12-31,0.182344563852066,-0.10113192426632889
2024-01-31,-0.21425761490587725,-0.04691304906998539
2024-02-29,0.05847861373442509,-0.0988494371921167
2024-03-31,0.3025802278134426,0.0466505589832078
2024-04-30,-0.11495432428432206,-0.1909180030645663
2024-05-31,-0.11518071442628841,-0.23309553994279586
2024-06-30,-0.26878099694069846,-0.12995793961039226
2024-07-31,-0.031622093679906094,-0.0322957132071533
2024-08-31,-0.3275492739067021,0.06356350586962378
2024-09-30,-0.17837256808919122,-0.0019093313263773837
2024-10-31,0.1388620326520762,0.002928848484429203
2024-11-30,0.14276490368756445,-0.012790069879309307
2024-12-31,0.1581978683222962,-0.06644001351281403
